,uid
1422,25821600
1423,25846452
1424,26080380
1425,26203720
1426,26218672
1427,26227734
1428,26296432
1429,26361750
1430,26367402
1431,26383571
1432,26439055
1433,26478423
1434,26566404
1435,26618947
1436,26659827
1437,26744279
1438,26779434
1439,26818158
1440,26836241
1441,26882841
1442,26915612
1443,26987633
1444,27034374
1445,27132313
1446,27144388
1447,27164410
1448,27194006
1449,27209737
1450,27242123
1451,27297394
1452,27469212
1453,27520036
1454,27529243
1455,27611833
1456,27643007
1457,27703984
1458,27732176
1459,27748658
1460,27833166
1461,27924271
1462,28018174
1463,28153085
1464,28294952
1465,28417557
1466,28446716
1467,28456031
1468,28538045
1469,28554708
1470,28599242
1471,28675263
1472,28717094
1473,28722509
1474,28847770
1475,28908344
1476,28982857
1477,29009746
1478,29083567
1479,29176411
1480,29269711
1481,29301206
1482,29340537
1483,29411346
1484,29435405
1485,29503976
1486,29658443
1487,29744748
1488,29858081
1489,30033011
1490,30102975
1491,30159995
1492,30163664
1493,30169150
1494,30244918
1495,30300985
1496,30352392
1497,30500705
1498,30572759
1499,30619112
1500,30661147
1501,30681240
1502,30693512
1503,30704409
1504,30771909
1505,30880830
1506,30907774
1507,31045756
1508,31072703
1509,31119749
1510,31201733
1511,31331665
1512,31357922
1513,31415583
1514,31447933
1515,31470351
1516,31520540
1517,31526437
1518,31561826
1519,31634608
1520,31665132
1521,31672827
1522,31750055
1523,31809732
1524,31892961
1525,31922488
1526,31994766
1527,32045053
1528,32160700
1529,32168789
1530,32210768
1531,32227697
1532,32254611
1533,32264387
1534,32325471
1535,32352525
1536,32420654
1537,32526452
1538,32575923
1539,32595087
1540,32623056
1541,32680468
1542,32828878
1543,32873454
1544,32961491
1545,33128300
1546,33146740
1547,33200507
1548,33307372
1549,33397055
1550,33411614
1551,33448959
1552,33550458
1553,33615249
1554,33631212
1555,33693599
1556,33728617
1557,33758998
1558,33831379
1559,33876345
1560,33919232
1561,33923281
1562,34029332
1563,34185642
1564,34195691
1565,34225329
1566,34300697
1567,34311042
1568,34366775
1569,34395971
1570,34477394
1571,34502449
1572,34616300
1573,34668179
1574,34719001
1575,34786838
1576,34864623
1577,34874690
